Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200201,2,2,0,0,0,0
20200202,2,0,0,0,0,0
20200203,2,0,0,0,0,0
20200204,2,0,0,0,0,0
20200205,2,0,0,0,0,0
20200206,2,0,0,0,0,0
20200207,2,0,0,0,0,0
20200208,2,0,0,0,0,0
20200209,2,0,0,0,0,0
20200210,2,0,0,0,0,0
20200211,2,0,0,0,0,0
20200212,2,0,0,0,0,0
20200213,2,0,0,0,0,0
20200214,2,0,0,0,0,0
20200215,2,0,0,0,0,0
20200216,2,0,0,0,0,0
20200217,2,0,0,0,0,0
20200218,2,0,0,0,0,0
20200219,2,0,0,0,0,0
20200220,2,0,0,0,0,0
20200221,2,0,0,0,0,0
20200222,2,0,0,0,0,0
20200223,2,0,0,0,0,0
20200224,2,0,0,0,0,0
20200225,2,0,0,0,0,0
20200226,2,0,0,0,0,0
20200227,2,0,0,0,0,0
20200228,2,0,0,0,0,0
20200229,2,0,0,0,0,0
20200301,2,0,0,0,0,0
20200302,2,0,0,0,0,0
20200303,3,1,0,0,0,0
20200304,3,0,0,0,0,0
20200305,3,0,0,0,0,0
20200306,4,1,0,0,0,0
20200307,7,3,0,0,0,0
20200308,7,0,0,0,0,0
20200309,7,0,0,0,0,0
20200310,7,0,0,0,0,0
20200311,7,0,0,0,0,0
20200312,20,13,0,0,0,0
20200313,34,14,0,0,0,0
20200314,34,0,0,0,0,0
20200315,31,-3,3,3,0,0
20200316,60,29,3,0,0,0
20200317,90,30,3,0,0,0
20200318,88,-2,5,2,0,0
20200319,190,102,8,3,1,1
20200320,244,54,8,0,1,0
20200321,289,45,16,8,1,0
20200322,379,90,16,0,1,0
20200323,420,41,17,1,1,0
20200324,477,57,17,0,1,0
20200325,628,151,29,12,1,0
20200326,800,172,38,9,2,1
20200327,988,188,45,7,3,1
20200328,1211,223,49,4,4,1
20200329,1462,251,64,15,8,4
20200330,1760,298,66,2,10,2
20200331,2199,439,121,55,17,7
20200401,2563,364,190,69,24,7
20200402,3283,720,235,45,30,6
20200403,3834,551,281,46,34,4
20200404,4355,521,333,52,43,9
20200405,4989,634,355,22,45,2
20200406,5890,901,406,51,47,2
20200407,6945,1055,494,88,58,11
