Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,5,5,0,0,0,0
20200317,7,2,0,0,0,0
20200318,7,0,0,0,0,0
20200319,11,4,0,0,0,0
20200320,17,6,0,0,0,0
20200321,17,0,0,0,0,0
20200322,17,0,0,0,0,0
20200323,17,0,0,0,0,0
20200324,40,23,0,0,0,0
20200325,41,1,0,0,0,0
20200326,50,9,0,0,0,0
20200327,54,4,0,0,0,0
20200328,60,6,0,0,0,0
20200329,60,0,0,0,0,0
20200330,70,10,0,0,0,0
20200331,75,5,0,0,0,0
20200401,82,7,0,0,0,0
20200402,84,2,0,0,0,0
20200403,89,5,0,0,0,0
20200404,102,13,0,0,0,0
20200405,100,-2,4,4,0,0
20200406,101,1,4,0,0,0
20200407,101,0,4,0,0,0
