Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,1,1,0,0,0,0
20200304,1,0,0,0,0,0
20200305,2,1,0,0,0,0
20200306,8,6,0,0,0,0
20200307,8,0,0,0,0,0
20200308,7,-1,0,0,0,0
20200309,15,8,0,0,0,0
20200310,15,0,0,0,0,0
20200311,20,5,0,0,0,0
20200312,21,1,0,0,0,0
20200313,21,0,0,0,0,0
20200314,62,41,0,0,0,0
20200315,102,40,1,1,0,0
20200316,102,0,1,0,0,0
20200317,127,25,6,5,0,0
20200318,165,38,6,0,0,0
20200319,268,103,6,0,0,0
20200320,336,68,8,2,0,0
20200321,376,40,16,8,0,0
20200322,495,119,16,0,0,0
20200323,546,51,16,0,0,0
20200324,738,192,28,12,1,1
20200325,869,131,29,1,2,1
20200326,980,111,29,0,3,1
20200327,1072,92,29,0,3,0
20200328,1162,90,37,8,4,1
20200329,1225,63,66,29,8,4
20200330,1330,105,115,49,8,0
20200331,1388,58,165,50,10,2
20200401,1440,52,264,99,16,6
20200402,1536,96,328,64,21,5
20200403,1536,0,328,0,21,0
20200404,1686,150,328,0,25,4
20200405,1880,194,488,160,34,9
20200406,2016,136,551,63,38,4
20200407,2139,123,615,64,41,3
