Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,1,1,0,0,0,0
20200315,1,0,0,0,0,0
20200316,0,-1,0,0,1,1
20200317,1,1,0,0,1,0
20200318,0,-1,0,0,1,0
20200319,1,1,0,0,1,0
20200320,1,0,0,0,1,0
20200321,1,0,0,0,1,0
20200322,1,0,0,0,1,0
20200323,1,0,0,0,1,0
20200324,2,1,0,0,1,0
20200325,2,0,0,0,1,0
20200326,2,0,0,0,1,0
20200327,2,0,0,0,1,0
20200328,4,2,0,0,1,0
20200329,4,0,0,0,1,0
20200330,4,0,0,0,2,1
20200331,5,1,0,0,2,0
20200401,5,0,0,0,2,0
20200402,6,1,0,0,2,0
20200403,8,2,0,0,2,0
20200404,8,0,0,0,2,0
20200405,8,0,2,2,2,0
20200406,8,0,2,0,2,0
20200407,10,2,2,0,2,0
