Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,1,1,0,0,0,0
20200304,1,0,0,0,0,0
20200305,4,3,0,0,0,0
20200306,4,0,0,0,0,0
20200307,4,0,0,0,0,0
20200308,4,0,0,0,0,0
20200309,4,0,0,0,0,0
20200310,4,0,0,0,0,0
20200311,4,0,0,0,0,0
20200312,4,0,0,0,0,0
20200313,10,6,0,0,0,0
20200314,10,0,0,0,0,0
20200315,19,9,2,2,0,0
20200316,24,5,2,0,0,0
20200317,25,1,2,0,0,0
20200318,25,0,2,0,0,0
20200319,36,11,2,0,0,0
20200320,42,6,5,3,0,0
20200321,51,9,5,0,0,0
20200322,62,11,5,0,0,0
20200323,71,9,8,3,0,0
20200324,78,7,8,0,0,0
20200325,78,0,8,0,0,0
20200326,96,18,9,1,0,0
20200327,108,12,11,2,0,0
20200328,112,4,18,7,0,0
20200329,115,3,27,9,0,0
20200330,135,20,27,0,0,0
20200331,135,0,40,13,0,0
20200401,144,9,45,5,1,1
20200402,139,-5,55,10,1,0
20200403,140,1,66,11,1,0
20200404,145,5,72,6,2,1
20200405,138,-7,82,10,2,0
20200406,132,-6,92,10,2,0
20200407,130,-2,105,13,2,0
