Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200124,1,1,0,0,0,0
20200125,3,2,0,0,0,0
20200126,3,0,0,0,0,0
20200127,4,1,0,0,0,0
20200128,7,3,0,0,0,0
20200129,7,0,0,0,0,0
20200130,10,3,0,0,0,0
20200131,13,3,0,0,0,0
20200201,16,3,0,0,0,0
20200202,18,2,0,0,0,0
20200203,18,0,0,0,0,0
20200204,18,0,0,0,0,0
20200205,24,6,0,0,0,0
20200206,28,4,0,0,0,0
20200207,30,2,0,0,0,0
20200208,33,3,0,0,0,0
20200209,40,7,0,0,0,0
20200210,43,3,0,0,0,0
20200211,45,2,0,0,0,0
20200212,47,2,0,0,0,0
20200213,50,3,0,0,0,0
20200214,58,8,0,0,0,0
20200215,67,9,0,0,0,0
20200216,72,5,0,0,0,0
20200217,75,3,0,0,0,0
20200218,77,2,0,0,0,0
20200219,81,4,0,0,0,0
20200220,84,3,0,0,0,0
20200221,85,1,0,0,0,0
20200222,86,1,0,0,0,0
20200223,89,3,0,0,0,0
20200224,89,0,0,0,0,0
20200225,90,1,0,0,0,0
20200226,91,1,0,0,0,0
20200227,93,2,0,0,0,0
20200228,96,3,0,0,0,0
20200229,98,2,0,0,0,0
20200301,102,4,0,0,0,0
20200302,106,4,0,0,0,0
20200303,108,2,0,0,0,0
20200304,110,2,0,0,0,0
20200305,110,0,0,0,0,0
20200306,117,7,0,0,0,0
20200307,130,13,0,0,0,0
20200308,138,8,0,0,0,0
20200309,150,12,0,0,0,0
20200310,160,10,0,0,0,0
20200311,166,6,0,0,0,0
20200312,178,12,0,0,0,0
20200313,187,9,0,0,0,0
20200314,200,13,0,0,0,0
20200315,107,-93,105,105,0,0
20200316,138,31,105,0,0,0
20200317,138,0,105,0,0,0
20200318,161,23,105,0,0,0
20200319,221,60,124,19,0,0
20200320,261,40,124,0,0,0
20200321,290,29,140,16,2,2
20200322,313,23,140,0,2,0
20200323,355,42,152,12,2,0
20200324,404,49,152,0,2,0
20200325,477,73,152,0,2,0
20200326,529,52,152,0,2,0
20200327,558,29,172,20,2,0
20200328,617,59,183,11,2,0
20200329,658,41,183,0,3,1
20200330,693,35,183,0,3,0
20200331,740,47,183,0,3,0
20200401,814,74,183,0,3,0
20200402,780,-34,266,83,3,0
20200403,843,63,266,0,5,2
20200404,917,74,266,0,6,1
20200405,1037,120,266,0,6,0
20200406,1025,-12,344,78,6,0
20200407,1098,73,377,33,6,0
