Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,1,1,0,0,0,0
20200320,1,0,0,0,0,0
20200321,1,0,0,0,0,0
20200322,1,0,0,0,0,0
20200323,1,0,0,0,0,0
20200324,3,2,0,0,0,0
20200325,5,2,0,0,0,0
20200326,13,8,0,0,0,0
20200327,13,0,0,0,0,0
20200328,13,0,0,0,0,0
20200329,19,6,0,0,0,0
20200330,24,5,0,0,0,0
20200331,30,6,0,0,0,0
20200401,30,0,0,0,0,0
20200402,31,1,0,0,1,1
20200403,39,8,0,0,2,1
20200404,44,5,0,0,2,0
20200405,53,9,0,0,3,1
20200406,59,6,0,0,3,0
20200407,66,7,0,0,3,0
