Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200229,1,1,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,8,7,0,0,0,0
20200304,8,0,0,0,0,0
20200305,16,8,0,0,0,0
20200306,21,5,0,0,0,0
20200307,24,3,0,0,0,0
20200308,26,2,0,0,1,1
20200309,36,10,0,0,1,0
20200310,47,11,0,0,2,1
20200311,61,14,0,0,2,0
20200312,61,0,0,0,2,0
20200313,61,0,0,0,2,0
20200314,64,3,0,0,2,0
20200315,85,21,2,2,5,3
20200316,85,0,2,0,5,0
20200317,91,6,2,0,9,4
20200318,91,0,2,0,11,2
20200319,93,2,2,0,14,3
20200320,110,17,2,0,14,0
20200321,135,25,2,0,14,0
20200322,129,-6,2,0,20,6
20200323,129,0,2,0,20,0
20200324,165,36,2,0,20,0
20200325,164,-1,2,0,21,1
20200326,185,21,2,0,21,0
20200327,195,10,2,0,21,0
20200328,219,24,2,0,21,0
20200329,218,-1,2,0,22,1
20200330,216,-2,2,0,24,2
20200331,215,-1,2,0,25,1
20200401,214,-1,2,0,26,1
20200402,212,-2,2,0,28,2
20200403,213,1,2,0,30,2
20200404,218,5,2,0,32,2
20200405,225,7,2,0,32,0
20200406,232,7,2,0,32,0
20200407,243,11,2,0,32,0
