Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,1,1,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,1,0,0,0,0,0
20200321,1,0,0,0,0,0
20200322,1,0,0,0,0,0
20200323,1,0,0,0,0,0
20200324,1,0,0,0,0,0
20200325,1,0,0,0,0,0
20200326,2,1,0,0,0,0
20200327,3,1,0,0,0,0
20200328,3,0,0,0,0,0
20200329,3,0,0,0,0,0
20200330,3,0,0,0,0,0
20200331,5,2,0,0,0,0
20200401,5,0,0,0,0,0
20200402,5,0,0,0,0,0
20200403,7,2,0,0,0,0
20200404,6,-1,1,1,0,0
20200405,6,0,1,0,0,0
20200406,6,0,1,0,0,0
20200407,7,1,1,0,0,0
