Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200306,1,1,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,12,11,0,0,0,0
20200312,19,7,0,0,0,0
20200313,19,0,0,0,0,0
20200314,31,12,0,0,0,0
20200315,41,10,0,0,0,0
20200316,41,0,0,0,0,0
20200317,70,29,0,0,0,0
20200318,85,15,0,0,0,0
20200319,103,18,0,0,0,0
20200320,134,31,0,0,1,1
20200321,170,36,0,0,1,0
20200322,220,50,0,0,2,1
20200323,246,26,0,0,3,1
20200324,306,60,0,0,4,1
20200325,380,74,0,0,4,0
20200326,451,71,0,0,6,2
20200327,528,77,0,0,8,2
20200328,649,121,0,0,10,2
20200329,737,88,0,0,13,3
20200330,819,82,0,0,16,3
20200331,877,58,0,0,23,7
20200401,1037,160,0,0,23,0
20200402,1154,117,0,0,31,8
20200403,1445,291,0,0,31,0
20200404,1568,123,0,0,40,9
20200405,1929,361,0,0,51,11
20200406,2142,213,0,0,58,7
20200407,2304,162,0,0,61,3
