Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,2,1,0,0,0,0
20200320,2,0,0,0,0,0
20200321,5,3,0,0,0,0
20200322,5,0,0,0,0,0
20200323,5,0,0,0,0,0
20200324,6,1,0,0,0,0
20200325,6,0,0,0,0,0
20200326,7,1,0,0,0,0
20200327,7,0,0,0,0,0
20200328,8,1,0,0,0,0
20200329,8,0,0,0,0,0
20200330,8,0,0,0,0,0
20200331,9,1,0,0,0,0
20200401,9,0,0,0,0,0
20200402,9,0,0,0,0,0
20200403,8,-1,0,0,1,1
20200404,9,1,0,0,1,0
20200405,9,0,0,0,1,0
20200406,9,0,0,0,1,0
20200407,9,0,0,0,1,0
