Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200307,1,1,0,0,0,0
20200308,3,2,0,0,0,0
20200309,5,2,0,0,0,0
20200310,7,2,0,0,0,0
20200311,7,0,0,0,0,0
20200312,10,3,0,0,0,0
20200313,21,11,0,0,0,0
20200314,30,9,0,0,0,0
20200315,44,14,0,0,0,0
20200316,61,17,0,0,0,0
20200317,72,11,0,0,0,0
20200318,97,25,0,0,0,0
20200319,122,25,0,0,1,1
20200320,136,14,0,0,1,0
20200321,177,41,0,0,1,0
20200322,184,7,0,0,1,0
20200323,178,-6,7,7,1,0
20200324,196,18,7,0,1,0
20200325,209,13,7,0,0,-1
20200326,219,10,7,0,0,0
20200327,262,43,7,0,0,0
20200328,288,26,7,0,0,0
20200329,307,19,7,0,0,0
20200330,329,22,7,0,0,0
20200331,359,30,3,-4,1,1
20200401,396,37,3,0,1,0
20200402,422,26,3,0,1,0
20200403,441,19,8,5,1,0
20200404,462,21,8,0,1,0
20200405,476,14,8,0,1,0
20200406,525,49,8,0,1,0
20200407,571,46,8,0,2,1
