Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,1,1,0,0,0,0
20200306,6,5,0,0,0,0
20200307,9,3,0,0,0,0
20200308,12,3,0,0,0,0
20200309,16,4,0,0,0,0
20200310,23,7,0,0,0,0
20200311,31,8,0,0,0,0
20200312,57,26,0,0,0,0
20200313,57,0,0,0,0,0
20200314,141,84,0,0,0,0
20200315,141,0,0,0,0,0
20200316,219,78,0,0,0,0
20200317,253,34,0,0,0,0
20200318,274,21,0,0,1,1
20200319,274,0,0,0,1,0
20200320,340,66,0,0,1,0
20200321,340,0,0,0,1,0
20200322,412,72,0,0,2,1
20200323,439,27,0,0,3,1
20200324,439,0,0,0,3,0
20200325,521,82,0,0,5,2
20200326,523,2,0,0,5,0
20200327,623,100,0,0,9,4
20200328,623,0,0,0,9,0
20200329,682,59,0,0,9,0
20200330,745,63,0,0,11,2
20200331,787,42,0,0,15,4
20200401,799,12,0,0,15,0
20200402,826,27,0,0,15,0
20200403,918,92,0,0,16,1
20200404,955,37,0,0,22,6
20200405,969,14,0,0,28,6
20200406,991,22,0,0,30,2
20200407,991,0,0,0,30,0
