Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200201,1,1,0,0,0,0
20200202,1,0,0,0,0,0
20200203,1,0,0,0,0,0
20200204,1,0,0,0,0,0
20200205,1,0,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,1,0,0,0,0,0
20200211,1,0,0,0,0,0
20200212,1,0,0,0,0,0
20200213,1,0,0,0,0,0
20200214,1,0,0,0,0,0
20200215,1,0,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,2,1,0,0,0,0
20200228,7,5,0,0,0,0
20200229,12,5,0,0,0,0
20200301,13,1,0,0,0,0
20200302,14,1,0,0,0,0
20200303,15,1,0,0,0,0
20200304,24,9,0,0,0,0
20200305,35,11,0,0,0,0
20200306,61,26,0,0,0,0
20200307,137,76,0,0,0,0
20200308,161,24,0,0,0,0
20200309,203,42,0,0,0,0
20200310,248,45,0,0,0,0
20200311,326,78,0,0,0,0
20200312,461,135,0,0,0,0
20200313,620,159,0,0,0,0
20200314,775,155,0,0,0,0
20200315,924,149,0,0,0,0
20200316,989,65,0,0,3,3
20200317,1056,67,0,0,3,0
20200318,1163,107,1,1,3,0
20200319,1411,248,1,0,11,8
20200320,1611,200,1,0,11,0
20200321,1709,98,17,16,20,9
20200322,1889,180,17,0,23,3
20200323,1974,85,17,0,25,2
20200324,2219,245,17,0,36,11
20200325,2451,232,17,0,42,6
20200326,2723,272,17,0,66,24
20200327,2937,214,17,0,92,26
20200328,3328,391,17,0,102,10
20200329,3573,245,17,0,110,8
20200330,3865,292,17,0,146,36
20200331,3865,0,17,0,146,0
20200401,4691,826,17,0,239,93
20200402,5241,550,17,0,307,68
20200403,5754,513,17,0,307,0
20200404,6053,299,17,0,373,66
20200405,6412,359,17,0,401,28
20200406,6712,300,17,0,477,76
20200407,7085,373,17,0,591,114
