Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,2,2,0,0,0,0
20200317,4,2,0,0,0,0
20200318,4,0,0,0,0,0
20200319,4,0,0,0,0,0
20200320,6,2,0,0,0,0
20200321,6,0,0,0,0,0
20200322,7,1,0,0,0,0
20200323,7,0,0,0,0,0
20200324,7,0,0,0,0,0
20200325,7,0,0,0,0,0
20200326,7,0,0,0,0,0
20200327,7,0,0,0,0,0
20200328,7,0,0,0,0,0
20200329,7,0,0,0,0,0
20200330,7,0,0,0,0,0
20200331,10,3,0,0,0,0
20200401,10,0,0,0,0,0
20200402,10,0,0,0,0,0
20200403,10,0,0,0,0,0
20200404,10,0,0,0,0,0
20200405,10,0,0,0,0,0
20200406,10,0,0,0,0,0
20200407,11,1,0,0,0,0
