Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,2,2,0,0,0,0
20200306,2,0,0,0,0,0
20200307,2,0,0,0,0,0
20200308,2,0,0,0,0,0
20200309,2,0,0,0,0,0
20200310,2,0,0,0,0,0
20200311,2,0,0,0,0,0
20200312,2,0,0,0,0,0
20200313,2,0,0,0,0,0
20200314,2,0,0,0,0,0
20200315,2,0,0,0,0,0
20200316,2,0,0,0,0,0
20200317,2,0,0,0,0,0
20200318,2,0,0,0,0,0
20200319,2,0,0,0,0,0
20200320,4,2,0,0,0,0
20200321,4,0,0,0,0,0
20200322,4,0,0,0,0,0
20200323,5,1,0,0,0,0
20200324,8,3,0,0,0,0
20200325,8,0,0,0,0,0
20200326,11,3,0,0,0,0
20200327,11,0,0,0,0,0
20200328,11,0,0,0,0,0
20200329,12,1,0,0,0,0
20200330,12,0,0,0,0,0
20200331,17,5,0,0,1,1
20200401,16,-1,0,0,2,1
20200402,19,3,0,0,2,0
20200403,20,1,0,0,2,0
20200404,20,0,0,0,2,0
20200405,22,2,0,0,2,0
20200406,27,5,0,0,2,0
20200407,29,2,0,0,2,0
