Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,1,1,0,0,0,0
20200321,1,0,0,0,0,0
20200322,1,0,0,0,0,0
20200323,1,0,0,0,0,0
20200324,3,2,0,0,0,0
20200325,3,0,0,0,0,0
20200326,3,0,0,0,0,0
20200327,5,2,0,0,0,0
20200328,5,0,0,0,0,0
20200329,5,0,0,0,0,0
20200330,5,0,0,0,0,0
20200331,5,0,0,0,0,0
20200401,7,2,0,0,0,0
20200402,7,0,0,0,0,0
20200403,7,0,0,0,0,0
20200404,7,0,0,0,0,0
20200405,7,0,0,0,0,0
20200406,9,2,0,0,0,0
20200407,9,0,0,0,0,0
