Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200307,1,1,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,1,0,0,0,0,0
20200315,1,0,0,0,0,0
20200316,1,0,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,9,8,0,0,0,0
20200320,8,-1,1,1,0,0
20200321,15,7,1,0,0,0
20200322,15,0,1,0,0,0
20200323,15,0,1,0,0,0
20200324,17,2,1,0,0,0
20200325,19,2,1,0,0,0
20200326,22,3,1,0,0,0
20200327,23,1,1,0,0,0
20200328,23,0,1,0,1,1
20200329,22,-1,7,6,1,0
20200330,23,1,10,3,1,0
20200331,23,0,10,0,1,0
20200401,24,1,10,0,2,1
20200402,20,-4,17,7,2,0
20200403,21,1,17,0,2,0
20200404,20,-1,18,1,3,1
20200405,21,1,20,2,3,0
20200406,27,6,22,2,3,0
20200407,39,12,23,1,3,0
