Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200121,2,2,0,0,0,0
20200122,2,0,0,0,0,0
20200123,2,0,0,0,0,0
20200124,4,2,0,0,0,0
20200125,4,0,0,0,0,0
20200126,5,1,0,0,0,0
20200127,5,0,0,0,0,0
20200128,14,9,0,0,0,0
20200129,14,0,0,0,0,0
20200130,14,0,0,0,0,0
20200131,14,0,0,0,0,0
20200201,19,5,0,0,0,0
20200202,19,0,0,0,0,0
20200203,19,0,0,0,0,0
20200204,19,0,0,0,0,0
20200205,25,6,0,0,0,0
20200206,25,0,0,0,0,0
20200207,25,0,0,0,0,0
20200208,32,7,0,0,0,0
20200209,32,0,0,0,0,0
20200210,32,0,0,0,0,0
20200211,33,1,0,0,0,0
20200212,33,0,0,0,0,0
20200213,33,0,0,0,0,0
20200214,33,0,0,0,0,0
20200215,34,1,0,0,0,0
20200216,34,0,0,0,0,0
20200217,35,1,0,0,0,0
20200218,35,0,0,0,0,0
20200219,35,0,0,0,0,0
20200220,35,0,0,0,0,0
20200221,35,0,0,0,0,0
20200222,35,0,0,0,0,0
20200223,35,0,0,0,0,0
20200224,35,0,0,0,0,0
20200225,37,2,0,0,0,0
20200226,40,3,0,0,0,0
20200227,40,0,0,0,0,0
20200228,40,0,0,0,0,0
20200229,42,2,0,0,0,0
20200301,42,0,0,0,0,0
20200302,41,-1,0,0,1,1
20200303,42,1,0,0,1,0
20200304,42,0,0,0,1,0
20200305,46,4,0,0,1,0
20200306,46,0,0,0,1,0
20200307,47,1,0,0,1,0
20200308,49,2,0,0,1,0
20200309,49,0,0,0,1,0
20200310,52,3,0,0,1,0
20200311,58,6,0,0,1,0
20200312,69,11,0,0,1,0
20200313,74,5,0,0,1,0
20200314,74,0,0,0,1,0
20200315,39,-35,35,35,1,0
20200316,78,39,35,0,1,0
20200317,105,27,41,6,1,0
20200318,135,30,41,0,1,0
20200319,229,94,42,1,1,0
20200320,278,49,43,1,1,0
20200321,428,150,44,1,1,0
20200322,553,125,45,1,1,0
20200323,668,115,52,7,1,0
20200324,766,98,57,5,4,3
20200325,860,94,70,13,4,0
20200326,971,111,70,0,4,0
20200327,1034,63,97,27,5,1
20200328,1142,108,97,0,6,1
20200329,1284,142,97,0,7,1
20200330,1388,104,127,30,9,2
20200331,1514,126,127,0,10,1
20200401,1632,118,127,0,12,2
20200402,1355,-277,505,378,15,3
20200403,1378,23,581,76,19,4
20200404,1435,57,612,31,20,1
20200405,1472,37,674,62,23,3
20200406,1401,-71,793,119,26,3
20200407,1408,7,824,31,26,0
