Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,1,1,0,0,0,0
20200315,1,0,0,0,0,0
20200316,2,1,0,0,0,0
20200317,5,3,0,0,0,0
20200318,5,0,0,0,0,0
20200319,5,0,0,0,0,0
20200320,9,4,0,0,0,0
20200321,9,0,0,0,0,0
20200322,9,0,0,0,0,0
20200323,50,41,0,0,0,0
20200324,51,1,0,0,0,0
20200325,57,6,0,0,0,0
20200326,59,2,0,0,1,1
20200327,60,1,0,0,1,0
20200328,64,4,0,0,2,1
20200329,72,8,0,0,2,0
20200330,73,1,0,0,3,1
20200331,79,6,0,0,3,0
20200401,82,3,0,0,3,0
20200402,84,2,0,0,5,2
20200403,85,1,0,0,5,0
20200404,91,6,0,0,6,1
20200405,94,3,0,0,6,0
20200406,97,3,0,0,6,0
20200407,97,0,0,0,8,2
