Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200312,1,1,0,0,0,0
20200313,1,0,0,0,0,0
20200314,5,4,0,0,0,0
20200315,5,0,0,0,0,0
20200316,5,0,0,0,0,0
20200317,47,42,0,0,0,0
20200318,47,0,0,0,0,0
20200319,355,308,0,0,4,4
20200320,661,306,0,0,9,5
20200321,926,265,0,0,21,12
20200322,1206,280,0,0,30,9
20200323,1492,286,0,0,37,7
20200324,1828,336,0,0,44,7
20200325,2374,546,0,0,59,15
20200326,3528,1154,26,26,75,16
20200327,5564,2036,42,16,92,17
20200328,7224,1660,70,28,108,16
20200329,8981,1757,105,35,131,23
20200330,9035,54,105,0,131,0
20200331,13074,4039,243,138,214,83
20200401,15069,1995,333,90,277,63
20200402,17364,2295,415,82,356,79
20200403,20012,2648,484,69,425,69
20200404,22647,2635,786,302,501,76
20200405,25453,2806,1042,256,574,73
20200406,28242,2789,1326,284,649,75
20200407,31802,3560,1582,256,725,76
