Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,1,1,0,0,0,0
20200318,1,0,0,0,0,0
20200319,6,5,0,0,0,0
20200320,6,0,0,0,0,0
20200321,6,0,0,0,0,0
20200322,12,6,0,0,0,0
20200323,12,0,0,0,0,0
20200324,12,0,0,0,0,0
20200325,12,0,1,1,0,0
20200326,12,0,1,0,0,0
20200327,12,0,1,0,0,0
20200328,13,1,1,0,0,0
20200329,13,0,1,0,0,0
20200330,18,5,1,0,0,0
20200331,17,-1,1,0,1,1
20200401,17,0,2,1,1,0
20200402,17,0,2,0,1,0
20200403,16,-1,3,1,1,0
20200404,16,0,3,0,1,0
20200405,18,2,3,0,1,0
20200406,20,2,3,0,1,0
20200407,18,-2,5,2,1,0
