Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200321,1,1,0,0,0,0
20200322,1,0,0,0,0,0
20200323,9,8,0,0,0,0
20200324,9,0,0,0,0,0
20200325,14,5,0,0,0,0
20200326,14,0,0,0,0,0
20200327,23,9,0,0,0,0
20200328,30,7,0,0,0,0
20200329,33,3,0,0,0,0
20200330,33,0,0,0,0,0
20200331,44,11,0,0,0,0
20200401,44,0,0,0,0,0
20200402,45,1,0,0,0,0
20200403,48,3,0,0,0,0
20200404,48,0,0,0,0,0
20200405,52,4,0,0,0,0
20200406,52,0,0,0,0,0
20200407,52,0,0,0,0,0
