Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200304,1,1,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,3,2,0,0,0,0
20200314,2,-1,0,0,1,1
20200315,2,0,0,0,1,0
20200316,2,0,0,0,1,0
20200317,6,4,0,0,1,0
20200318,12,6,0,0,2,1
20200319,19,7,0,0,2,0
20200320,26,7,0,0,3,1
20200321,44,18,0,0,3,0
20200322,44,0,0,0,3,0
20200323,69,25,1,1,3,0
20200324,93,24,1,0,3,0
20200325,139,46,1,0,5,2
20200326,150,11,1,0,5,0
20200327,212,62,1,0,5,0
20200328,342,130,5,4,9,4
20200329,459,117,6,1,10,1
20200330,527,68,8,2,13,3
20200331,618,91,10,2,17,4
20200401,761,143,13,3,20,3
20200402,856,95,19,6,22,2
20200403,1030,174,19,0,23,1
20200404,1168,138,25,6,32,9
20200405,1243,75,28,3,37,5
20200406,1253,10,28,0,38,1
20200407,1389,136,28,0,45,7
