Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,4,4,0,0,0,0
20200317,6,2,0,0,0,0
20200318,6,0,0,0,0,0
20200319,79,73,0,0,0,0
20200320,110,31,0,0,0,0
20200321,110,0,0,0,0,0
20200322,135,25,0,0,0,0
20200323,158,23,0,0,0,0
20200324,162,4,0,0,0,0
20200325,189,27,0,0,0,0
20200326,211,22,6,6,0,0
20200327,232,21,6,0,0,0
20200328,232,0,6,0,0,0
20200329,268,36,6,0,0,0
20200330,302,34,6,0,1,1
20200331,296,-6,41,35,1,0
20200401,296,0,41,0,1,0
20200402,295,-1,41,0,2,1
20200403,314,19,68,27,4,2
20200404,314,0,68,0,4,0
20200405,314,0,68,0,4,0
20200406,327,13,68,0,5,1
20200407,286,-41,123,55,6,1
