Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200123,1,1,0,0,0,0
20200124,1,0,0,0,0,0
20200125,2,1,0,0,0,0
20200126,2,0,0,0,0,0
20200127,5,3,0,0,0,0
20200128,5,0,0,0,0,0
20200129,5,0,0,0,0,0
20200130,5,0,0,0,0,0
20200131,6,1,0,0,0,0
20200201,7,1,0,0,0,0
20200202,8,1,0,0,0,0
20200203,11,3,0,0,0,0
20200204,11,0,0,0,0,0
20200205,11,0,0,0,0,0
20200206,12,1,0,0,0,0
20200207,12,0,0,0,0,0
20200208,12,0,0,0,0,0
20200209,12,0,0,0,0,0
20200210,12,0,0,0,0,0
20200211,13,1,0,0,0,0
20200212,13,0,0,0,0,0
20200213,14,1,0,0,0,0
20200214,15,1,0,0,0,0
20200215,15,0,0,0,0,0
20200216,15,0,0,0,0,0
20200217,15,0,0,0,0,0
20200218,15,0,0,0,0,0
20200219,15,0,0,0,0,0
20200220,15,0,0,0,0,0
20200221,15,0,0,0,0,0
20200222,35,20,0,0,0,0
20200223,35,0,0,0,0,0
20200224,35,0,0,0,0,0
20200225,53,18,0,0,0,0
20200226,53,0,0,0,0,0
20200227,59,6,0,0,0,0
20200228,59,0,0,0,0,0
20200229,62,3,0,0,0,0
20200301,62,0,0,0,0,0
20200302,62,0,0,0,0,0
20200303,62,0,0,0,2,2
20200304,102,40,0,0,6,4
20200305,120,18,0,0,9,3
20200306,138,18,0,0,10,1
20200307,202,64,0,0,11,1
20200308,202,0,0,0,11,0
20200309,202,0,0,0,11,0
20200310,453,251,0,0,19,8
20200311,671,218,0,0,25,6
20200312,958,287,0,0,29,4
20200313,1228,270,0,0,36,7
20200314,1986,758,0,0,47,11
20200315,2589,603,10,10,56,9
20200316,3172,583,10,0,62,6
20200317,4491,1319,48,38,90,28
20200318,6152,1661,74,26,105,15
20200319,13513,7361,121,47,208,103
20200320,18736,5223,121,0,244,36
20200321,25021,6285,171,50,301,57
20200322,32486,7465,178,7,409,108
20200323,42503,10017,178,0,533,124
20200324,52552,10049,333,155,703,170
20200325,64475,11923,361,28,942,239
20200326,81626,17151,680,319,1201,259
20200327,99207,17581,869,189,1581,380
20200328,118116,18909,991,122,2010,429
20200329,135754,17638,2665,1674,2467,457
20200330,152202,16448,4865,2200,2953,486
20200331,175545,23343,6910,2045,3810,857
20200401,200181,24636,8434,1524,4757,947
20200402,227341,27160,8991,557,5850,1093
20200403,259817,32476,9772,781,7406,1556
20200404,285791,25974,14652,4880,8407,1001
20200405,308696,22905,17266,2614,9562,1155
20200406,334488,25792,17582,316,10689,1127
20200407,361530,27042,21849,4267,12844,2155
