Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,4,4,0,0,0,0
20200317,4,0,0,0,0,0
20200318,16,12,0,0,0,0
20200319,23,7,0,0,0,0
20200320,33,10,0,0,0,0
20200321,41,8,0,0,0,0
20200322,43,2,0,0,0,0
20200323,46,3,0,0,0,0
20200324,50,4,0,0,0,0
20200325,55,5,0,0,0,0
20200326,65,10,0,0,0,0
20200327,83,18,0,0,0,0
20200328,102,19,0,0,2,2
20200329,131,29,0,0,2,0
20200330,140,9,7,7,2,0
20200331,158,18,7,0,2,0
20200401,164,6,7,0,2,0
20200402,176,12,12,5,2,0
20200403,194,18,25,13,2,0
20200404,235,41,25,0,3,1
20200405,270,35,25,0,3,0
20200406,358,88,30,5,2,-1
20200407,440,82,30,0,2,0
