Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,2,2,0,0,0,0
20200315,2,0,0,0,0,0
20200316,2,0,0,0,0,0
20200317,33,31,0,0,0,0
20200318,33,0,0,0,0,0
20200319,42,9,0,0,0,0
20200320,42,0,0,0,0,0
20200321,42,0,0,0,0,0
20200322,70,28,0,0,0,0
20200323,77,7,0,0,0,0
20200324,84,7,0,0,0,0
20200325,106,22,0,0,0,0
20200326,107,1,0,0,0,0
20200327,107,0,0,0,0,0
20200328,106,-1,0,0,1,1
20200329,111,5,0,0,2,1
20200330,111,0,0,0,2,0
20200331,132,21,0,0,3,1
20200401,132,0,0,0,3,0
20200402,141,9,0,0,3,0
20200403,141,0,0,0,3,0
20200404,141,0,0,0,3,0
20200405,141,0,0,0,3,0
20200406,141,0,0,0,3,0
20200407,156,15,0,0,3,0
