Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200124,2,2,0,0,0,0
20200125,2,0,0,0,0,0
20200126,2,0,0,0,0,0
20200127,2,0,0,0,0,0
20200128,2,0,0,0,0,0
20200129,2,0,0,0,0,0
20200130,2,0,0,0,0,0
20200131,5,3,0,0,0,0
20200201,6,1,0,0,0,0
20200202,7,1,0,0,0,0
20200203,8,1,0,0,0,0
20200204,9,1,0,0,0,0
20200205,10,1,0,0,0,0
20200206,10,0,0,0,0,0
20200207,12,2,0,0,0,0
20200208,13,1,0,0,0,0
20200209,14,1,0,0,0,0
20200210,14,0,0,0,0,0
20200211,15,1,0,0,0,0
20200212,15,0,0,0,0,0
20200213,16,1,0,0,0,0
20200214,16,0,0,0,0,0
20200215,16,0,0,0,0,0
20200216,16,0,0,0,0,0
20200217,16,0,0,0,0,0
20200218,16,0,0,0,0,0
20200219,16,0,0,0,0,0
20200220,16,0,0,0,0,0
20200221,16,0,0,0,0,0
20200222,16,0,0,0,0,0
20200223,16,0,0,0,0,0
20200224,16,0,0,0,0,0
20200225,16,0,0,0,0,0
20200226,16,0,0,0,0,0
20200227,16,0,0,0,0,0
20200228,16,0,0,0,0,0
20200229,16,0,0,0,0,0
20200301,16,0,0,0,0,0
20200302,16,0,0,0,0,0
20200303,16,0,0,0,0,0
20200304,16,0,0,0,0,0
20200305,16,0,0,0,0,0
20200306,16,0,0,0,0,0
20200307,17,1,0,0,0,0
20200308,21,4,0,0,0,0
20200309,30,9,0,0,0,0
20200310,31,1,0,0,0,0
20200311,35,4,0,0,0,0
20200312,39,4,0,0,0,0
20200313,39,0,0,0,0,0
20200314,48,9,0,0,0,0
20200315,37,-11,16,16,0,0
20200316,41,4,16,0,0,0
20200317,45,4,16,0,0,0
20200318,45,0,16,0,0,0
20200319,59,14,16,0,0,0
20200320,70,11,17,1,0,0
20200321,77,7,17,0,0,0
20200322,96,19,17,0,0,0
20200323,106,10,17,0,0,0
20200324,117,11,17,0,0,0
20200325,124,7,17,0,0,0
20200326,136,12,17,0,0,0
20200327,143,7,20,3,0,0
20200328,153,10,21,1,0,0
20200329,163,10,25,4,0,0
20200330,151,-12,52,27,0,0
20200331,155,4,52,0,0,0
20200401,160,5,58,6,0,0
20200402,152,-8,75,17,0,0
20200403,164,12,75,0,0,0
20200404,164,0,75,0,0,0
20200405,150,-14,91,16,0,0
20200406,150,0,95,4,0,0
20200407,154,4,95,0,0,0
