Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200306,1,1,0,0,0,0
20200307,1,0,0,0,0,0
20200308,2,1,0,0,0,0
20200309,3,1,0,0,0,0
20200310,7,4,0,0,0,0
20200311,7,0,0,0,0,0
20200312,13,6,0,0,0,0
20200313,17,4,0,0,0,0
20200314,17,0,0,0,0,0
20200315,38,21,0,0,0,0
20200316,51,13,0,0,0,0
20200317,62,11,0,0,0,0
20200318,62,0,0,0,0,0
20200319,150,88,0,0,0,0
20200320,202,52,0,0,0,0
20200321,240,38,0,0,0,0
20200322,274,34,0,0,0,0
20200323,402,128,0,0,0,0
20200324,554,152,0,0,0,0
20200325,709,155,0,0,0,0
20200326,927,218,0,0,0,0
20200327,1168,241,1,1,1,1
20200328,1184,16,1,0,2,1
20200329,1277,93,1,0,2,0
20200330,1322,45,1,0,3,1
20200331,1347,25,1,0,5,2
20200401,1374,27,1,0,5,0
20200402,1412,38,45,44,5,0
20200403,1455,43,45,0,5,0
20200404,1531,76,45,0,9,4
20200405,1599,68,45,0,11,2
20200406,1630,31,45,0,11,0
20200407,1629,-1,45,0,12,1
