Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,2,2,0,0,0,0
20200320,2,0,0,0,0,0
20200321,2,0,0,0,0,0
20200322,3,1,0,0,0,0
20200323,3,0,0,0,0,0
20200324,3,0,0,0,0,0
20200325,12,9,0,0,0,0
20200326,16,4,0,0,0,0
20200327,22,6,0,0,0,0
20200328,28,6,0,0,0,0
20200329,29,1,0,0,0,0
20200330,35,6,0,0,0,0
20200331,36,1,0,0,0,0
20200401,36,0,0,0,0,0
20200402,38,2,0,0,1,1
20200403,36,-2,2,2,1,0
20200404,36,0,2,0,1,0
20200405,35,-1,3,1,1,0
20200406,33,-2,5,2,1,0
20200407,31,-2,7,2,1,0
