Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,1,1,0,0,0,0
20200321,2,1,0,0,0,0
20200322,2,0,0,0,0,0
20200323,1,-1,0,0,1,1
20200324,2,1,0,0,1,0
20200325,2,0,0,0,1,0
20200326,4,2,0,0,1,0
20200327,6,2,0,0,1,0
20200328,6,0,0,0,1,0
20200329,6,0,0,0,1,0
20200330,7,1,0,0,1,0
20200331,7,0,0,0,1,0
20200401,7,0,0,0,1,0
20200402,8,1,0,0,1,0
20200403,8,0,0,0,1,0
20200404,8,0,0,0,1,0
20200405,8,0,0,0,1,0
20200406,9,1,0,0,1,0
20200407,9,0,0,0,2,1
