Country Name,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
United States of America,8,1,0,0,0,0
Italy,2,0,0,0,0,0
Germany,8,1,0,0,0,0
Spain,1,0,0,0,0,0
The United Kingdom,2,0,0,0,0,0
France,6,0,0,0,0,0
Canada,4,0,0,0,0,0
Sweden,1,0,0,0,0,0
Russian Federation,2,0,0,0,0,0
Australia,12,0,0,0,0,0
India,2,1,0,0,0,0
Japan,20,3,0,0,0,0
Philippines,1,0,0,0,1,1
Republic of Korea,15,3,0,0,0,0
Malaysia,8,0,0,0,0,0
Finland,1,0,0,0,0,0
China,16402,2623,475,147,361,57
United Arab Emirates,5,1,0,0,0,0
Thailand,19,0,0,0,0,0
Singapore,18,2,0,0,0,0
Vietnam,7,1,0,0,0,0
Sri Lanka,1,0,0,0,0,0
Cambodia,1,0,0,0,0,0
Nepal,1,0,0,0,0,0
