Country Name,Confirmed Cases,New Cases,Deaths,New Deaths,Death Rate,Serious & Critical,Recovered
New York,"149,316",0,"6,268",0,4.20%,"4,504","13,366"
New Jersey,"47,437",0,"1,504",0,3.17%,N/A,"2,443"
Michigan,"20,346",0,959,0,4.71%,N/A,946
California,"19,031",0,505,0,2.65%,"1,154","1,935"
Louisiana,"17,030",0,652,0,3.83%,490,806
Massachusetts,"16,790",0,433,0,2.58%,N/A,421
Pennsylvania,"16,560",0,310,0,1.87%,N/A,404
Florida,"15,698",0,323,0,2.06%,N/A,"1,116"
Illinois,"15,078",0,462,0,3.06%,N/A,2
Georgia,"10,204",0,370,0,3.63%,N/A,N/A
Washington,"9,421",0,428,0,4.54%,N/A,873
Texas,"9,353",0,177,0,1.89%,N/A,770
Connecticut,"8,781",0,335,0,3.82%,N/A,N/A
Indiana,"5,943",0,203,0,3.42%,N/A,N/A
Colorado,"5,655",0,193,0,3.41%,N/A,N/A
Maryland,"5,529",0,124,0,2.24%,N/A,365
Ohio,"5,148",0,193,0,3.75%,472,N/A
Tennessee,"4,362",0,79,0,1.81%,N/A,356
Virginia,"3,645",0,75,0,2.06%,N/A,N/A
North Carolina,"3,569",0,63,0,1.77%,N/A,N/A
Missouri,"3,386",0,93,0,2.75%,N/A,N/A
U.S. military,"3,160",0,8,0,0.25%,N/A,224
Wisconsin,"2,756",0,99,0,3.59%,N/A,16
Arizona,"2,726",0,80,0,2.93%,N/A,N/A
South Carolina,"2,552",0,63,0,2.47%,N/A,N/A
Alabama,"2,499",0,48,0,1.92%,N/A,N/A
Nevada,"2,318",0,80,0,3.45%,N/A,26
Mississippi,"2,003",0,67,0,3.34%,N/A,N/A
Utah,"1,846",0,13,0,0.70%,N/A,N/A
Oklahoma,"1,524",0,79,0,5.18%,N/A,N/A
Rhode Island,"1,450",0,35,0,2.41%,45,N/A
District of Columbia,"1,440",0,27,0,1.88%,N/A,361
Oregon,"1,239",0,38,0,3.07%,N/A,N/A
Idaho,"1,232",0,18,0,1.46%,8,N/A
Minnesota,"1,154",0,39,0,3.38%,64,632
Kentucky,"1,346",0,73,0,5.42%,N/A,N/A
Iowa,"1,145",0,27,0,2.36%,N/A,N/A
Arkansas,"1,077",0,18,0,1.67%,23,237
Kansas,976,0,32,0,3.28%,N/A,N/A
Delaware,"1,116",0,19,0,1.70%,N/A,144
New Mexico,865,0,16,0,1.85%,N/A,N/A
New Hampshire,788,0,18,0,2.28%,N/A,227
Puerto Rico,620,0,24,0,3.87%,N/A,N/A
Vermont,605,0,23,0,3.80%,N/A,N/A
Maine,537,0,14,0,2.61%,N/A,187
Nebraska,532,0,13,0,2.44%,N/A,N/A
West Virginia,483,0,4,0,0.83%,N/A,N/A
Hawaii,435,0,6,0,1.38%,N/A,113
South Dakota,393,0,6,0,1.53%,N/A,146
Federal prisons,338,0,8,0,2.37%,N/A,N/A
Montana,332,0,6,0,1.81%,N/A,135
North Dakota,251,0,4,0,1.59%,N/A,98
Alaska,226,0,7,0,3.10%,N/A,29
Wyoming,230,0,0,0,0.00%,N/A,94
Guam,125,0,4,0,3.20%,N/A,31
Diamond Princess (repatriated),46,0,0,0,0.00%,N/A,2
U.S. Virgin Islands,45,0,1,0,2.22%,N/A,39
