State Name,Confirmed Cases,New Cases,Deaths,New Deaths,Active Cases
"
New York ","151,171 ","
","
6,268 ", ,"
130,323 "
"
New Jersey ","47,437 ","
","
1,504 ", ,"
45,841 "
"
Michigan ","20,346 ","
","
959 ", ,"
19,318 "
"
California ","19,031 ","
+201 ","
505 ",+7 ,"
17,586 "
"
Louisiana ","17,030 ","
","
652 ", ,"
16,328 "
"
Massachusetts ","16,790 ","
","
433 ", ,"
16,347 "
"
Pennsylvania ","16,743 ","
","
314 ", ,"
16,295 "
"
 Florida ","15,698 ","
","
323 ", ,"
15,275 "
"
Illinois ","15,078 ","
","
462 ", ,"
14,566 "
"
Georgia ","10,204 ","
","
370 ", ,"
9,803 "
"
Texas ","10,065 ","
","
195 ", ,"
9,100 "
"
Washington ","9,342 ","
","
431 ", ,"
7,997 "
"
Connecticut ","8,781 ","
","
335 ", ,"
8,396 "
"
Indiana ","5,943 ","
","
203 ", ,"
5,726 "
"
Colorado ","5,655 ","
","
193 ", ,"
5,422 "
"
Maryland ","5,529 ","
","
124 ", ,"
5,117 "
"
Ohio ","5,148 ","
","
193 ", ,"
4,955 "
"
Tennessee ","4,362 ","
","
 79 ", ,"
3,656 "
"
Virginia ","3,645 ","
","
75 ", ,"
3,568 "
"
North Carolina ","3,562 ","
","
63 ", ,"
3,413 "
"
Missouri ","3,431 ","
","
85 ", ,"
3,277 "
"
Wisconsin ","2,756 ","
","
103 ", ,"
2,588 "
"
Arizona ","2,726 ","
","
80 ", ,"
2,626 "
"
South Carolina ","2,552 ","
","
63 ", ,"
2,489 "
"
Alabama ","2,499 ","
","
67 ", ,"
2,412 "
"
Nevada ","2,318 ","
","
71 ", ,"
2,211 "
"
Mississippi ","2,003 ","
","
67 ", ,"
1,936 "
"
Utah ","1,846 ","
","
13 ", ,"
1,807 "
"
Oklahoma ","1,524 ","
","
79 ", ,"
923 "
"
Rhode Island ","1,450 ","
","
35 ", ,"
1,405 "
"
District Of Columbia ","1,440 ","
","
27 ", ,"
1,052 "
"
Kentucky ","1,346 ","
","
73 ", ,"
967 "
"
Oregon ","1,239 ","
","
38 ", ,"
1,201 "
"
Idaho ","1,232 ","
","
18 ", ,"
1,214 "
"
Minnesota ","1,154 ","
","
39 ", ,"
483 "
"
Iowa ","1,145 ","
","
27 ", ,"
1,029 "
"
Delaware ","1,116 ","
","
19 ", ,"
938 "
"
Arkansas ","1,077 ","
","
18 ", ,"
822 "
"
Kansas ","1,046 ","
","
38 ", ,"
1,008 "
"
New Mexico ",865 ,"
","
16 ", ,"
678 "
"
New Hampshire ",788 ,"
","
18 ", ,"
543 "
"
Vermont ",605 ,"
","
23 ", ,"
582 "
"
Maine ",537 ,"
","
14 ", ,"
336 "
"
Nebraska ",519 ,"
","
12 ", ,"
507  "
"
West Virginia ",483 ,"
","
4 ", ,"
479 "
"
Hawaii ",435 ,"
","
5 ", ,"
317 "
"
South Dakota ",393 ,"
","
6 ", ,"
241 "
"
Montana ",332 ,"
","
6 ", ,"
191 "
"
North Dakota ",251 ,"
","
4 ", ,"
149 "
"
Wyoming ",230 ,"
","
", ,"
136 "
"
Alaska ",226 ,"
","
7 ", ,"
187 "
